projection_date,projected_months,mean,std,median,mean-1std,mean+1std,projected_date,actual_rate,actual_rate_direction,classification,mean_v_median,median_accuracy
2020-12-31,3,1.7435897435897438,0.04003203845127182,1.7500000000000002,1.703557705138472,1.7836217820410156,2021-03-31,1.75,Neutral,Within 1 std,0.0064102564102563875,0
2021-01-31,3,1.7500000000000002,0.0,1.7500000000000002,1.7500000000000002,1.7500000000000002,2021-04-30,1.75,Neutral,Below Mean - 1 std,0.0,0
2021-02-28,3,1.7437500000000001,0.03952847075210478,1.7500000000000002,1.7042215292478953,1.783278470752105,2021-05-28,1.75,Neutral,Within 1 std,0.006250000000000089,0
2021-03-31,3,1.75625,0.03952847075210472,1.7500000000000002,1.7167215292478955,1.7957784707521047,2021-06-30,1.75,Neutral,Within 1 std,0.006249999999999867,0
2021-04-15,3,1.7564102564102562,0.04003203845127176,1.7500000000000002,1.7163782179589844,1.796442294861528,2021-07-15,1.75,Neutral,Within 1 std,0.006410256410255943,0
2021-05-14,3,1.7562499999999999,0.03952847075210473,1.7500000000000002,1.7167215292478952,1.7957784707521045,2021-08-14,1.75,Neutral,Within 1 std,0.006249999999999645,0
2021-06-15,3,1.8353658536585362,0.13240274847931985,1.7500000000000002,1.7029631051792165,1.967768602137856,2021-09-15,1.75,Neutral,Within 1 std,0.085365853658536,0
2021-07-15,3,1.9312500000000004,0.16000300477947757,2.0,1.7712469952205228,2.0912530047794777,2021-10-15,2.0,Increasing,Within 1 std,0.06874999999999964,1
2021-08-13,3,2.1535714285714285,0.1754412058917137,2.25,1.9781302226797148,2.329012634463142,2021-11-13,2.5,Increasing,Above Mean + 1 std,0.09642857142857153,0
2021-09-15,3,2.5062500000000005,0.15491416150855108,2.5,2.3513358384914493,2.6611641615085517,2021-12-15,2.5,Neutral,Within 1 std,0.006250000000000533,1
2021-10-14,3,2.821428571428572,0.327991459054262,2.75,2.49343711237431,3.149420030482834,2022-01-14,3.0,Increasing,Within 1 std,0.07142857142857206,0
2021-11-12,3,3.280487804878048,0.29152145049303146,3.25,2.988966354385017,3.5720092553710794,2022-02-12,4.0,Increasing,Above Mean + 1 std,0.03048780487804814,0
2021-12-14,3,3.8125000000000027,0.25159746034346614,4.0,3.5609025396565364,4.0640974603434685,2022-03-14,4.0,Neutral,Within 1 std,0.18749999999999734,1
